Altium Designer Pick and Place Locations
C:\Users\12566\Desktop\ÁÙÊ±ÎÄ¼þ¼Ð\OpenMV4\Project Outputs for OpenMV4\Pick Place for openmv4_PCB.csv

========================================================================================================================
File Design Information:

Date:       26/11/19
Time:       12:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"","NC","BottomLayer","WEEE","-1990.000","-1055.000","180",""
"","NC","BottomLayer","OMV-LOGO-BIG","-1990.000","-1055.000","180",""
"","NC","TopLayer","OSHW_FILLX100_NOTEXT","-1990.000","-1055.000","0",""
"C1","1uF","TopLayer","C0603","1265.000","905.000","0","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C2","22uF","TopLayer","C0805","435.000","95.000","270","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C3","10uF","TopLayer","C0805","1265.000","1225.000","180","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C4","1uF","TopLayer","C0603","325.000","410.000","270","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C5","0.1uF","TopLayer","C0603","260.000","410.000","270","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C6","0.1uF","TopLayer","C0603","400.000","985.000","90","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C7","0.1uF","TopLayer","C0603","1365.000","1435.000","90","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C8","0.1uF","TopLayer","C0603","1005.000","305.000","270","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C9","0.1uF","TopLayer","C0603","1025.000","985.000","90","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C10","0.1uF","TopLayer","C0603","715.000","1050.000","180","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C11","47uF","TopLayer","EIA3216","315.000","995.000","270","Capacitor PolarizedThese are standard SMD and PTH capacitors. Normally 10uF, 47uF, and 100uF in electrolytic and tantalum varieties. Always verify the external diameter of the through hole cap, it varies with capacity, voltage, and manufacturer. The EIA d"
"C12","10uF","TopLayer","C0805","1265.000","1465.000","180","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C13","0.1uF","TopLayer","C0603","318.000","806.512","90","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C14","47uF","TopLayer","EIA3216","490.000","1575.120","270","Capacitor PolarizedThese are standard SMD and PTH capacitors. Normally 10uF, 47uF, and 100uF in electrolytic and tantalum varieties. Always verify the external diameter of the through hole cap, it varies with capacity, voltage, and manufacturer. The EIA d"
"C16","0.1uF","TopLayer","C0603","553.000","1346.488","270","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C17","22uF","TopLayer","C0805","488.000","1347.000","270","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C18","4.7uF","TopLayer","C0603","865.000","1515.512","90","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C19","0.1uF","TopLayer","C0603","670.000","1605.512","90","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C20","0.1uF","TopLayer","C0603","890.512","1420.000","360","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C21","0.1uF","TopLayer","C0603","755.000","1605.000","90","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C40","12pF","TopLayer","C0603","230.000","550.000","360","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C41","12pF","TopLayer","C0603","230.000","770.000","180","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
